Timestamp,Cue
1753587860.5613344,eye-open-begin
1753587980.5625684,eye-open-end
1753588011.5435698,eye-closed-begin
1753588131.5442452,eye-closed-end
1753588162.5724926,eye-open-begin
1753588282.5734832,eye-open-end
1753588313.5695188,eye-closed-begin
1753588433.5708625,eye-closed-end
1753588464.5387852,eye-open-begin
1753588584.5402508,eye-open-end
1753588615.4968112,eye-closed-begin
1753588735.4975383,eye-closed-end
1753588766.4779382,eye-open-begin
1753588886.4786525,eye-open-end
1753588917.4555008,eye-closed-begin
1753589037.457249,eye-closed-end
